Problem ID,Title,Acceptance Rate,Difficulty
2958,"Length of Longest Subarray With at Most K Frequency",58.1%,Medium
1,"Two Sum",58.0%,Easy
2,"Add Two Numbers",49.1%,Medium
3,"Longest Substring Without Repeating Characters",39.7%,Medium
5,"Longest Palindromic Substring",38.4%,Medium
7,"Reverse Integer",32.3%,Medium
8,"String to Integer (atoi)",21.5%,Medium
9,"Palindrome Number",60.9%,Easy
11,"Container With Most Water",60.6%,Medium
13,"Roman to Integer",67.0%,Easy
14,"Longest Common Prefix",48.2%,Easy
15,"3Sum",39.7%,Medium
17,"Letter Combinations of a Phone Number",66.6%,Medium
19,"Remove Nth Node From End of List",52.3%,Medium
20,"Valid Parentheses",44.7%,Easy
22,"Generate Parentheses",79.0%,Medium
23,"Merge k Sorted Lists",60.3%,Hard
25,"Reverse Nodes in k-Group",66.9%,Hard
26,"Remove Duplicates from Sorted Array",63.5%,Easy
29,"Divide Two Integers",20.2%,Medium
33,"Search in Rotated Sorted Array",45.4%,Medium
34,"Find First and Last Position of Element in Sorted Array",49.5%,Medium
35,"Search Insert Position",52.0%,Easy
39,"Combination Sum",77.0%,Medium
40,"Combination Sum II",59.9%,Medium
45,"Jump Game II",43.3%,Medium
48,"Rotate Image",80.5%,Medium
50,"Pow(x, n)",39.1%,Medium
51,"N-Queens",76.2%,Hard
53,"Maximum Subarray",53.7%,Medium
54,"Spiral Matrix",57.6%,Medium
55,"Jump Game",41.4%,Medium
57,"Insert Interval",45.8%,Medium
61,"Rotate List",43.1%,Medium
62,"Unique Paths",67.2%,Medium
63,"Unique Paths II",44.9%,Medium
64,"Minimum Path Sum",68.7%,Medium
70,"Climbing Stairs",54.3%,Easy
72,"Edit Distance",61.1%,Medium
73,"Set Matrix Zeroes",63.5%,Medium
74,"Search a 2D Matrix",54.4%,Medium
75,"Sort Colors",70.2%,Medium
78,"Subsets",82.7%,Medium
79,"Word Search",47.9%,Medium
81,"Search in Rotated Sorted Array II",40.4%,Medium
86,"Partition List",61.8%,Medium
90,"Subsets II",61.8%,Medium
92,"Reverse Linked List II",52.1%,Medium
101,"Symmetric Tree",61.8%,Easy
102,"Binary Tree Level Order Traversal",73.3%,Medium
105,"Construct Binary Tree from Preorder and Inorder Traversal",69.4%,Medium
120,"Triangle",59.9%,Medium
121,"Best Time to Buy and Sell Stock",57.2%,Easy
122,"Best Time to Buy and Sell Stock II",71.5%,Medium
125,"Valid Palindrome",54.0%,Easy
136,"Single Number",78.1%,Easy
141,"Linked List Cycle",54.9%,Easy
142,"Linked List Cycle II",58.8%,Medium
144,"Binary Tree Preorder Traversal",76.4%,Easy
151,"Reverse Words in a String",57.5%,Medium
153,"Find Minimum in Rotated Sorted Array",55.1%,Medium
155,"Min Stack",58.5%,Medium
162,"Find Peak Element",47.1%,Medium
167,"Two Sum II - Input Array Is Sorted",65.7%,Medium
189,"Rotate Array",45.4%,Medium
198,"House Robber",53.5%,Medium
199,"Binary Tree Right Side View",70.9%,Medium
204,"Count Primes",36.4%,Medium
205,"Isomorphic Strings",48.9%,Easy
206,"Reverse Linked List",80.9%,Easy
207,"Course Schedule",52.0%,Medium
209,"Minimum Size Subarray Sum",52.6%,Medium
213,"House Robber II",45.4%,Medium
215,"Kth Largest Element in an Array",69.2%,Medium
216,"Combination Sum III",73.6%,Medium
221,"Maximal Square",50.7%,Medium
225,"Implement Stack using Queues",70.5%,Easy
230,"Kth Smallest Element in a BST",77.2%,Medium
231,"Power of Two",50.4%,Easy
232,"Implement Queue using Stacks",70.2%,Easy
234,"Palindrome Linked List",58.6%,Easy
237,"Delete Node in a Linked List",84.3%,Medium
238,"Product of Array Except Self",69.1%,Medium
242,"Valid Anagram",68.5%,Easy
278,"First Bad Version",47.5%,Easy
279,"Perfect Squares",56.8%,Medium
282,"Expression Add Operators",43.6%,Hard
283,"Move Zeroes",64.2%,Easy
297,"Serialize and Deserialize Binary Tree",61.1%,Hard
303,"Range Sum Query - Immutable",73.1%,Easy
322,"Coin Change",48.9%,Medium
328,"Odd Even Linked List",62.7%,Medium
347,"Top K Frequent Elements",67.1%,Medium
402,"Remove K Digits",37.5%,Medium
416,"Partition Equal Subset Sum",49.9%,Medium
424,"Longest Repeating Character Replacement",60.4%,Medium
435,"Non-overlapping Intervals",57.5%,Medium
438,"Find All Anagrams in a String",54.3%,Medium
451,"Sort Characters By Frequency",75.7%,Medium
452,"Minimum Number of Arrows to Burst Balloons",61.8%,Medium
455,"Assign Cookies",55.4%,Easy
463,"Island Perimeter",74.3%,Easy
485,"Max Consecutive Ones",65.9%,Easy
494,"Target Sum",52.7%,Medium
496,"Next Greater Element I",76.7%,Easy
503,"Next Greater Element II",69.0%,Medium
509,"Fibonacci Number",74.5%,Easy
516,"Longest Palindromic Subsequence",65.8%,Medium
518,"Coin Change II",59.3%,Medium
